Site No.,Lat,Long
6556W003,-31.861,116.278
6055W032,-31.900,115.974
6056W033,-31.837,116.038
6072W001,-31.914,116.133
6082W002,-31.867,116.221
6081W008,-31.873,116.147
6074W002,-31.887,116.223
6056W004,-31.867,116.049
6053W001,-31.909,115.902
6055W008,-31.861,115.974
6055W029,-31.849,115.978
6055W028,-31.851,115.972
6000W031,-31.958,115.867
6004W016,-31.955,115.880
6018W016,-31.878,115.783
6062W019,-31.878,115.913
6019W005,-31.889,115.763
6037W004,-31.504,115.608
6025W053,-31.813,115.750
6035W024,-31.544,115.655
6035W025,-31.536,115.634
6035W010,-31.542,115.648
6063W009,-31.857,115.956
6063W004,-31.858,115.935
6063W010,-31.857,115.918
6055W026,-31.814,115.978
6055W027,-31.814,115.964
6084W011,-31.673,116.029
6084W010,-31.659,116.046
6055W030,-31.866,115.959
6069W027,-31.624,115.696
6069W028,-31.748,115.981
6069W033,-31.746,115.999
6069W024,-31.767,116.020
"
6069W032",-31.767,116.020
6069W031,-31.769,116.030
6038W005,-31.624,115.696
6038W006,-31.605,115.663
6038W007,-31.600,115.678
6031W030,-31.702,115.8045
6031W029,-31.689,115.809
6036W010,-31.632,115.707
6034W001,-31.577,115.665
6065W032,-31.812,115.859
6031W027,-31.680,115.789
6031W028,-31.682,115.782
6065W033,-31.756,115.819
6209W002,-32.560,115.764
6210W045,-32.556,115.686
6176W002,-32.443,115.770
6180W009,-32.471,115.779
6210W198,-32.477,115.754
6210W200,-32.466,115.756
6210W197,-32.488,115.764
6207W003,-32.520,115.967
6208W060,-32.578,115.797
6208W055,-32.606,115.858
6175W008,-32.436,115.762
6208W056,-32.589,115.776
6208W057,-32.594,115.810
6122W021,-32.235,115.991
6125W008,-32.374,115.961
6148W003,-32.022,115.893
6112W047,-32.158,116.015
6112W050,-32.134,116.017
6171W042,-32.354,115.806
6112W048,-32.174,116.008
6122W017,-32.239,115.981
6122W016,-32.224,116.012
6125W002,-32.210,115.986
6155W041,-32.079,115.910
6155W069,-32.082,115.906
6101W008,-31.991,115.897
"
6112W058",-32.117,115.918
6056W037,-31.922,116.032
6112W051,-32.178,115.993
6112W052,-32.178,115.965
6123W004,-32.280,116.000
6112W028,-32.139,115.926
6125W006,-32.376,115.983
6125W007,-32.364,115.977
6112W045,-32.132,115.989
6110W051,-32.105,115.958
6108W020,-32.081,115.951
6171W043,-32.354,115.812
6167W033,-32.238,115.877
6167W034,-32.236,115.882
6167W035,-32.231,115.828
6171W044,-32.359,115.792
6164W074,-32.177,115.837
6164W077,-32.177,115.837
6164W026,-32.098,115.856
6167W016,-32.232,115.781
6163W091,-32.083,115.759
6164W075,-32.137,115.851
6164W076,-32.117,115.873
6164W078,-32.120,115.883
6164W079,-32.120,115.877
6167W032,-32.194,115.862
6167W027,-32.203,115.862
6170W007,-32.258,115.863
6170W005,-32.271,115.830
6170W010,-32.272,115.827
6164W025,-32.119,115.814
